"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"51481","BALMORAL CASTLE, KING EDWARD VII MEMORIAL AND DRINKING FOUNTAIN","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51476","BALMORAL CASTLE, GARDENER'S COTTAGE, TIGH-NA-GARAIDH","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51460","BALMORAL CASTLE WITH PARTERRE AND TERRACE WALLS","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51516","GARBH ALLT SUSPENSION BRIDGE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51512","EASTER BALMORAL, RHEBRECK, WATER TANK","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51507","EASTER BALMORAL, 1 IVY COTTAGE","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51448","BIRKHALL, ROPE BRIDGE","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51442","MONCREIFFE ESTATE, WALLED GARDEN AND HA-HA","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51437","MONCREIFFE ESTATE, EAST GATE","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51388","FASQUE, THE OCTAGON","C","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51375","22 AND 24 LAINSHAW STREET, INCLUDING THE ROYAL BANK OF SCOTLAND","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51374","14 LAINSHAW STREET","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51367","60 AND 62 PRINCES STREET","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51364","5 AND 7 KING STREET, INCLUDING ST ANDREW LODGE","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51357","MUTHILL, THE LURG","C","02/09/2009","PERTH AND KINROSS","MUTHILL"
"51342","6, 8 SHANDWICK PLACE","C","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51325","STIRLING UNIVERSITY CAMPUS, 6 AND 7 AIRTHREY CASTLE YARD, NUFFIELD STAFF HOUSES","B","15/05/2009","STIRLING","LOGIE"
"51312","LAUDER GOLF CLUB PAVILION","C","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51284","DOW OF CHON, LOCH CHON AQUEDUCT NO 3 (FORMER GLASGOW CORPORATION WATER WORKS)","C","22/12/2008","STIRLING","ABERFOYLE"
"51279","123-129 (ODD NOS) PERTH ROAD, TAY BRIDGE BAR","C","22/12/2008","DUNDEE, CITY OF","DUNDEE"
"51244","WILTON PARK, GATE LODGE, GATEPIERS AND STRUCTURES INCLUDING WAR MEMORIAL, BOER WAR MEMORIAL, HENDERSON SHELTER, THE FOUNTAIN AND MACNEE FOUNTAIN","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51227","ROSALEE BRAE, LADYLAW","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51220","17 NORTH BRIDGE STREET, ELM HOUSE HOTEL","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51185","AURS ROAD, BALGRAY RESERVOIR DRAW-OFF TOWER","B","05/11/2008","EAST RENFREWSHIRE","MEARNS"
"51184","AURS ROAD, MAIN HOUSE INCLUDING WORKSHOPS AND FORMER WATER TESTING TOWER","C","05/11/2008","EAST RENFREWSHIRE","EASTWOOD"
"51186","WAULKMILL GLEN RESERVOIR INCLUDING DRAW-OFF TOWER, SELF-ACTIVATING SLUICE AND REGULATING HOUSE","A","05/11/2008","EAST RENFREWSHIRE","NEILSTON"
"51175","13 CROFT-AN-RIGH, ST ANNE'S YARD (FORMER BREWERY BUILDINGS)","B","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51158","MAIN STREET, SAVOY BINGO CLUB (FORMER SAVOY CINEMA)","C","16/09/2008","SOUTH LANARKSHIRE","CAMBUSLANG"
"51154","HOISH AQUEDUCT OVERFLOW OR OUTLET (FORMER GLASGOW CORPORATION WATER WORKS)","C","18/08/2008","STIRLING","DRYMEN"
"51140","LETTRE BYEWASH AND ACCESS CHAMBER WITH BOUNDARY WALL, RAILINGS AND GATES (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","KILLEARN"
"51138","ENDRICK AQUEDUCT PIPE BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","KILLEARN"
"51119","150-154 GRAHAMS ROAD, THE STAR INN","C","26/06/2008","FALKIRK","FALKIRK"
"51111","79-81 NORTH HIGH STREET, VOLUNTEER ARMS (STAGGS)","C","09/06/2008","EAST LOTHIAN","MUSSELBURGH"
"51110","117 NORTH STREET, THE NEW PICTURE HOUSE","B","02/06/2008","FIFE","ST ANDREWS"
"51097","ARDRISHAIG, PIER SQUARE, FORMER PASSENGER TERMINAL BUILDING","C","21/05/2008","ARGYLL AND BUTE","SOUTH KNAPDALE"
"51086","PEEBLES ROAD, EASTER AND WESTER CAERLEE (FORMERLY CAERLEE HOUSE) INCLUDING WASH HOUSE AND GARAGE","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51087","ST RONAN'S TERRACE, GLENROY (FORMERLY ST RONAN'S LODGE) INCLUDING BOUNDARY WALLS","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51081","2 LEITHEN CRESCENT, VALE OF LEITHEN SOCIAL CLUB INCLUDING BOUNDARY WALLS AND RAILINGS","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51080","42-48 (EVEN NOS) HIGH STREET, ST RONAN'S VIEW","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"52332","HOLY TRINITY AND ST BARNABAS CHURCH, ST JAMES' STREET, PAISLEY, EXCLUDING CHURCH HALLS TO SOUTH","C","21/01/2015","RENFREWSHIRE","PAISLEY"
"52317","UNDERGROUND FUEL RESERVOIR, INCHINDOWN, INVERGORDON","A","19/11/2014","HIGHLAND","ROSSKEEN"
"52282","ULVA HOUSE INCLUDING OUTBUILDING, ISLAND OF ULVA","B","18/09/2014","ARGYLL AND BUTE","KILNINIAN AND KILMORE"
"52257","KNOCKBAIN MUNLOCHY PARISH CHURCH AND BOUNDARY WALL, MUNLOCHY","C","10/07/2014","HIGHLAND","KNOCKBAIN"
"52242","MOUNT STEPHEN (FORMER MEDICAL AND PATHOLOGY BLOCK), FORMER ABERDEEN ROYAL INFIRMARY, WOOLMANHILL, ABERDEEN","B","19/06/2014","ABERDEEN, CITY OF","ABERDEEN"
"52202","BALWEARIE HIGH SCHOOL, BALWEARIE GARDENS, KIRKCALDY","B","17/04/2014","FIFE","KIRKCALDY"
"52172","ANDERSTON KELVINGROVE PARISH CHURCH (CHURCH OF SCOTLAND), 759 ARGYLE STREET, LITTLE STREET, GRACE STREET, GLASGOW","B","07/02/2014","GLASGOW, CITY OF","GLASGOW"
"52117","SOUTHWOOD ROAD, DUNALTON HOUSE AND LODGE","C","13/10/2013","SOUTH AYRSHIRE","DUNDONALD"
"52063","AVIEMORE RAILWAY STATION, SIGNAL BOX","B","28/06/2013","HIGHLAND","DUTHIL AND ROTHIEMURCHUS"
"52012","CARLINGNOSE STUDIOS (FORMER CARLINGNOSE BATTERY) INCLUDING WALLS AND OUTBUILDINGS","A","13/02/2013","FIFE","INVERKEITHING"
"51977","141-1416 (EVEN NOS) SHETTLESTON ROAD, THE RAILWAY TAVERN PUBLIC HOUSE","C","20/11/2012","GLASGOW, CITY OF","GLASGOW"
"51966","57 LAUREL STREET, CRATHIE COURT INCLUDING TERRACE WALL","B","04/09/2012","GLASGOW, CITY OF","GLASGOW"
"51965","LOCHABER HYDROELECTRIC SCHEME AND ALUMINIUM SMELTER, POWERHOUSE (EXCLUDING PIPES TO WEST)","B","04/09/2012","HIGHLAND","KILMONIVAIG"
"51946","MONTEVIOT ESTATE, OLD TOLL COTTAGE","C","05/07/2012","SCOTTISH BORDERS","CRAILING"
"51916","9-16 (INCLUSIVE NUMBERS) ROTHESAY MEWS","C","17/05/2012","EDINBURGH, CITY OF","EDINBURGH"
"51887","43  GOGARBANK, MILLBUIES HOUSE, DOVECOT AND COMPOST SHELTER","B","01/03/2012","EDINBURGH, CITY OF","EDINBURGH"
"51842","VICTORIA STREET, ESPLANADE GARDENS, WAR MEMORIAL","C","18/11/2011","ARGYLL AND BUTE","ROTHESAY"
"51784","TWATT AIRFIELD (FORMER HMS TERN), AIR-RAID SHELTERS","C","15/07/2011","ORKNEY ISLANDS","BIRSAY AND HARRAY"
"51778","15A, 15B, 15C, 15D VICTORIA STREET, 8 WRITER'S COURT INCLUDING BOUNDARY WALLS","B","19/07/2011","EAST LOTHIAN","DUNBAR"
"51762","RICCARTON MILL, FORMER GRANARY AND BYRE, AND KILN","C","06/07/2011","SCOTTISH BORDERS","CASTLETON"
"51767","CRAIGHALL DEN, CERES, LIMEKILN","B","08/07/2011","FIFE","CERES"
"51739","VICTORIA PARK, PARTICK AND WHITEINCH WAR MEMORIAL","C","26/04/2011","GLASGOW, CITY OF","GLASGOW"
"51737","25-31 (ODD NOS) YORK PLACE, INCLUDING BOUNDARY WALL","C","26/04/2011","PERTH AND KINROSS","PERTH"
"51716","GRAMPIAN HYDRO ELECTRIC SCHEME, RANNOCH POWER STATION","A","11/02/2011","PERTH AND KINROSS","FORTINGALL"
"51697","GALLOWAY HYDROELECTRIC POWER SCHEME, EARLSTOUN DAM","B","11/02/2011","DUMFRIES AND GALLOWAY","KELLS"
"51673","HARTSIDE FARMHOUSE AND STEADING","C","17/12/2010","SOUTH LANARKSHIRE","WANDEL AND LAMINGTON"
"51647","23 UNION STREET, EDINBURGH PRINTMAKERS","C","10/12/2010","EDINBURGH, CITY OF","EDINBURGH"
"51638","226-232 (EVEN NOS) HIGH STREET","C","19/11/2010","PERTH AND KINROSS","PERTH"
"51639","KINNOULL STREET, PERTH CONGREGATIONAL CHURCH","B","19/11/2010","PERTH AND KINROSS","PERTH"
"51593","BIGGAR ROAD, KING GEORGE'S PARK, CARNWATH SPORTS PAVILION","C","16/09/2010","SOUTH LANARKSHIRE","CARNWATH"
"51582","DUNDONALD, DANKEITH FARM","C","09/08/2010","SOUTH AYRSHIRE","SYMINGTON"
"51573","RAVENSWOOD, SUMMERHOUSE","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51561","GATTONSIDE, BAKERS ROAD, ACHNACHAIRIDH","B","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51557","EILDON HALL: EAST LODGE INCLUDING GATEPIERS","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51502","CONNACHAT, PRINCE OF BATTENBURG MEMORIAL","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51484","BALMORAL CASTLE, PONY STABLES","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51487","BALMORAL CASTLE, 1 AND 2 RIVERSIDE COTTAGES","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51468","BALMORAL CASTLE, DAIRY AND 1 AND 2 DAIRY COTTAGES","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51515","GARBH ALLT SHIEL, INCLUDING OUTBUILDING","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51459","DELNADAMPH, INCHMORE","C","12/03/2010","ABERDEENSHIRE","STRATHDON"
"51440","MONCREIFFE ESTATE, GAMEKEEPER'S COTTAGE AND KENNELS","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51424","RAF LEUCHARS, TECHNICAL SIDE, WATCH OFFICE,  BUILDING 213","C","08/02/2010","FIFE","LEUCHARS"
"51421","RAF LEUCHARS, DOMESTIC SIDE, OLD SERGEANTS' MESS, BUILDING 8","C","08/02/2010","FIFE","LEUCHARS"
"51413","KYLERHEA SLIPWAY (KYLERHEA FERRY)","B","14/01/2010","HIGHLAND","STRATH"
"51395","1-9 (INCLUSIVE NUMBERS) RAVELSTON TERRACE","C","11/11/2009","EDINBURGH, CITY OF","EDINBURGH"
"51356","CAPUTH HALL","B","02/09/2009","PERTH AND KINROSS","CAPUTH"
"51347","UNION STREET, TOWN HALL INCLUDING BOUNDARY WALLS","C","28/07/2009","PERTH AND KINROSS","COUPAR ANGUS"
"51333","KIPPEN LODGE","C","01/07/2009","PERTH AND KINROSS","DUNNING"
"51337","BELFORD ROAD, BELFORD BRIDGE","B","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51324","STIRLING UNIVERSITY CAMPUS, 4 AND 5 AIRTHREY CASTLE YARD, NUFFIELD STAFF HOUSES","B","15/05/2009","STIRLING","LOGIE"
"51322","STIRLING UNIVERSITY CAMPUS, 1 AIRTHREY CASTLE YARD, PRINCIPAL'S HOUSE","A","15/05/2009","STIRLING","LOGIE"
"51318","94 INVERLEITH PLACE","C","30/04/2009","EDINBURGH, CITY OF","EDINBURGH"
"51315","THIRLESTANE CASTLE ESTATE, STABLE OFFICES","B","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51316","THIRLESTANE CASTLE ESTATE, WALLED GARDEN","C","30/03/2009","SCOTTISH BORDERS","LAUDER"
"51307","FORMER KINNELL PARISH CHURCH GRAVEYARD INCLUDING GATEPIERS, GATES AND ENCLOSURE WALLS","C","30/03/2009","ANGUS","KINNELL"
"51301","TOWNFOOT, TOWN HALL","B","17/03/2009","SCOTTISH BORDERS","STOW"
"51298","CROOKSTON HOUSE, FORMER STABLES INCLUDING BOUNDARY WALLS","C","17/03/2009","SCOTTISH BORDERS","STOW"
"51285","LOCH KATRINE, ACHRAY DAM INCLUDING SLUICES, WEIR, FISH LADDER AND RAILINGS (FORMER GLASGOW CORPORATION WATER WORKS)","C","22/12/2008","STIRLING","ABERFOYLE"
"51260","CLYDEBANK, LILAC AVENUE, MOUNTBLOW FOOTBALL PAVILION","C","08/12/2008","WEST DUNBARTONSHIRE","OLD KILPATRICK"
"51243","WEST STEWART PLACE, FORMER KIRKLANDS HOTEL","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51240","WEENSLAND ROAD, MANSFIELD HOUSE HOTEL, INCLUDING GATEPIERS","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51239","5 AND 6 TOWER KNOWE","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51233","SUNNYHILL ROAD, WESTWOOD, INCLUDING OUTBUILDING, BOUNDARY WALLS, GATES AND STEPS","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51229","1 SILVER STREET AND 9 KIRKSTILE, INCLUDING THE EXCHANGE BAR","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51225","36 PRINCES STREET, WILTON CENTRE (FORMER WILTON PARISH SCHOOL) INCLUDING BOUNDARY WALLS AND GATEPIERS","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51200","HAVELOCK STREET, SILVERBUTHALL GATEPIERS","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51197","DICKSON STREET, WILTON PARISH CHURCH HALL","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51174","301-319 (ODD NOS) COWGATE AND 1 AND 2 HIGH SCHOOL YARDS, INCLUDING STEPS TO EAST","B","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51163","MINTO WAR MEMORIAL","B","16/09/2008","SCOTTISH BORDERS","MINTO"
"51146","BLANE VALLEY VALVE HOUSES INCLUDING 1856 VALVE HOUSE, 1932 VALVE HOUSE, VENTILATION SHAFT, BOUNDARY WALL AND GATES (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"51142","BALLEWAN BYEWASH 2 (FORMER GLASGOW CORPORATION WATER WORKS","B","18/08/2008","STIRLING","STRATHBLANE"
"51139","KILLEARN AQUEDUCT BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","KILLEARN"
"51128","WORMIT, NAUGHTON ROAD, WORMIT FARM INCLUDING FARMHOUSE AND STEADING AND BOUNDARY WALLS","C","02/07/2008","FIFE","FORGAN"
"51121","CRAIGELLACHIE, FIDDICHSIDE INN","C","26/06/2008","MORAY","BOHARM"
"51106","117 STRATHMARTINE ROAD, FREWS BAR","C","27/05/2008","DUNDEE, CITY OF","DUNDEE"
"51077","5, 7, 9 AND 11 HIGH STREET, ROBERT SMAIL'S PRINTING WORKS, INCLUDING PRINTING WORKS, COURTYARD AND MILL LADE 	","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51058","PERTH ROAD, UNIVERSITY OF DUNDEE, THE TOWER","B","04/03/2008","DUNDEE, CITY OF","DUNDEE"
"51048","GRISHIPOLL HOUSE, ALSO KNOWN AS THE OLD WHITE HOUSE","C","07/02/2008","ARGYLL AND BUTE","COLL"
"51036","BALNACRA, OLD SCHOOL AND SCHOOLHOUSE","C","22/01/2008","HIGHLAND","LOCHCARRON"
